sentence,entities
"Lead engineer Tom updated firewall settings on 2024-02-28; IP assigned: 198.51.100.23, token key b1c2d3e4f5a6b7c8d9e0f123456789ab at Cisco San Jose.","[(14, 17, 'PER'), (44, 54, 'DATE'), (67, 81, 'IP-Address'), (93, 125, 'Token keys'), (129, 134, 'ORG'), (135, 143, 'LOC')]"
"Update #27 deployed on 2024-07-11 by developer Anna; IP 127.0.0.1 used with token 1abc234def567890abcdef1234567890f at Intel, Santa Clara.","[(7, 9, 'ORDINAL'), (21, 31, 'DATE'), (46, 50, 'PER'), (56, 67, 'IP-Address'), (79, 111, 'Token keys'), (115, 120, 'ORG'), (122, 133, 'LOC')]"
"Critical alert on 2023-06-05 from server with IP fe80::f2de:f1ff:fe3f:307e and token key f0e1d2c3b4a5968778695a4b3c2d1e0f at HP headquarters, Houston.","[(15, 25, 'DATE'), (45, 68, 'IP-Address'), (82, 114, 'Token keys'), (118, 120, 'ORG'), (132, 139, 'LOC')]"
Database sync completed on 2024-09-30; technician Li used IP 203.0.113.5 and token 1234abcd5678efgh9012ijkl3456mnop at Samsung Seoul office.,"[(23, 33, 'DATE'), (46, 48, 'PER'), (54, 66, 'IP-Address'), (76, 108, 'Token keys'), (112, 119, 'ORG'), (120, 125, 'LOC')]"
License key a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6 registered from IP 192.0.2.255 on 2024-12-12 by user James at Adobe San Francisco.,"[(12, 44, 'Token keys'), (59, 70, 'IP-Address'), (74, 84, 'DATE'), (88, 93, 'PER'), (97, 102, 'ORG'), (103, 116, 'LOC')]"
"Maintenance on 2024-11-01 confirmed by technician Olga; IP 10.1.1.1 and token key 0f9e8d7c6b5a4321123456789abcdef0 at Lenovo, Moscow data center.","[(12, 22, 'DATE'), (42, 47, 'PER'), (53, 60, 'IP-Address'), (74, 106, 'Token keys'), (110, 116, 'ORG'), (118, 124, 'LOC')]"
"The conference hosted by MIT on 2024-05-20 had attendees from multiple countries, secured with token key abcdef1234567890fedcba0987654321 and IP 198.51.100.100.","[(23, 26, 'ORG'), (30, 40, 'DATE'), (89, 121, 'Token keys'), (126, 139, 'IP-Address')]"
"On 2023-08-15, engineer Raj deployed the update with token key 123abc456def789ghi012jkl345mno678 and IP 172.31.255.255 at Netflix Los Angeles office.","[(3, 13, 'DATE'), (22, 25, 'PER'), (52, 84, 'Token keys'), (89, 102, 'IP-Address'), (106, 113, 'ORG'), (114, 126, 'LOC')]"
User login from IP 2400:cb00:2048:1::c629:d7a2 with token key 0a1b2c3d4e5f6a7b8c9d0e1f2a345678 on 2024-03-17 at Twitter London headquarters.,"[(17, 43, 'IP-Address'), (59, 91, 'Token keys'), (95, 105, 'DATE'), (109, 116, 'ORG'), (117, 123, 'LOC')]"
"Payment of $4500 received on 2024-02-14; transaction logged with IP 203.0.113.99 and token 1234567890abcdef1234567890abcdef at Visa HQ, New York.","[(11, 16, 'MONEY'), (26, 36, 'DATE'), (57, 69, 'IP-Address'), (74, 106, 'Token keys'), (110, 114, 'ORG'), (116, 124, 'LOC')]"
"On January 5th, 2024, Anna updated records with token key 9f8e7d6c5b4a3210abcdef1234567890 and accessed system at IP 192.168.0.50 for IBM in Armonk.","[(3, 19, 'DATE'), (20, 24, 'PER'), (42, 74, 'Token keys'), (91, 104, 'IP-Address'), (109, 112, 'ORG'), (116, 122, 'LOC')]"
System reboot initiated by user Mark on 2024-10-10 from IP 10.10.10.10 with token 0abcdef1234567890fedcba987654321 at HP Dallas center.,"[(27, 31, 'PER'), (35, 45, 'DATE'), (51, 61, 'IP-Address'), (72, 104, 'Token keys'), (108, 110, 'ORG'), (111, 117, 'LOC')]"
"The software license with token key 1a2b3c4d5e6f7g8h9i0jklmnopqrstuv was activated on 2023-11-11 from IP 198.51.100.42 at Adobe, San Jose.","[(25, 57, 'Token keys'), (72, 82, 'DATE'), (88, 101, 'IP-Address'), (105, 110, 'ORG'), (112, 120, 'LOC')]"
"On 2023-04-01, server maintenance was performed by technician Emily; IP 172.16.0.1, token key abcdef1234567890abcdef1234567890 used at Google Seattle.","[(3, 13, 'DATE'), (56, 67, 'IP-Address'), (69, 101, 'Token keys'), (111, 117, 'ORG'), (118, 125, 'LOC')]"
Update #8 installed on 2024-06-22 by engineer David; IP 203.0.113.45 and token 123456789abcdef0123456789abcdef01 verified at Facebook Menlo Park.,"[(7, 8, 'ORDINAL'), (22, 32, 'DATE'), (44, 49, 'PER'), (55, 67, 'IP-Address'), (72, 104, 'Token keys'), (114, 122, 'ORG'), (123, 134, 'LOC')]"
Backup completed on 2024-01-01; admin John accessed server with IP 192.168.254.254 and token 0f1e2d3c4b5a69788766554433221100 at IBM Tokyo.,"[(18, 28, 'DATE'), (34, 38, 'PER'), (63, 77, 'IP-Address'), (82, 114, 'Token keys'), (118, 121, 'ORG'), (122, 127, 'LOC')]"
The new firewall rule was applied by Michael on 2024-09-05; IP 10.0.0.1 and token key f1234567890abcdef1234567890abcd used at Cisco San Jose.,"[(34, 41, 'PER'), (45, 55, 'DATE'), (58, 67, 'IP-Address'), (82, 114, 'Token keys'), (118, 123, 'ORG'), (124, 132, 'LOC')]"
Error detected on 2023-12-12 during deployment by engineer Sarah; IP fe80::f2de:f1ff:fe3f:307e and token 123abc456def789ghi012jkl345mno678 at Dell Austin.,"[(15, 25, 'DATE'), (53, 58, 'PER'), (64, 87, 'IP-Address'), (92, 124, 'Token keys'), (128, 132, 'ORG'), (133, 139, 'LOC')]"
"On 2024-03-03, server restart was initiated by user Alex; IP 192.0.2.1 and token key 0a1b2c3d4e5f67890123456789abcdef used at Netflix Los Angeles.","[(3, 13, 'DATE'), (50, 54, 'PER'), (60, 71, 'IP-Address'), (85, 117, 'Token keys'), (121, 128, 'ORG'), (129, 141, 'LOC')]"
Patch 15 installed on 2024-07-07 by developer Maria; IP 198.51.100.23 and token 9f8e7d6c5b4a3210abcdef1234567890 validated at Microsoft Redmond.,"[(6, 8, 'ORDINAL'), (19, 29, 'DATE'), (42, 47, 'PER'), (53, 65, 'IP-Address'), (70, 102, 'Token keys'), (112, 121, 'ORG'), (122, 130, 'LOC')]"
The meeting held at MIT on 2023-05-20 was secured with token key abcdef1234567890fedcba0987654321 and IP 203.0.113.10.,"[(17, 20, 'ORG'), (24, 34, 'DATE'), (53, 85, 'Token keys'), (90, 103, 'IP-Address')]"
"On 2023-04-10, engineer Raj accessed the system with token key 123abc456def789ghi012jkl345mno678 and IP 172.31.255.255 at Netflix Los Angeles.","[(3, 13, 'DATE'), (22, 25, 'PER'), (52, 84, 'Token keys'), (89, 102, 'IP-Address'), (106, 113, 'ORG'), (114, 126, 'LOC')]"
User login from IP 2400:cb00:2048:1::c629:d7a2 with token key 0a1b2c3d4e5f6a7b8c9d0e1f2a345678 on 2024-03-17 at Twitter London headquarters.,"[(17, 43, 'IP-Address'), (59, 91, 'Token keys'), (95, 105, 'DATE'), (109, 116, 'ORG'), (117, 123, 'LOC')]"
"Payment of $4500 received on 2024-02-14; transaction logged with IP 203.0.113.99 and token 1234567890abcdef1234567890abcdef at Visa HQ, New York.","[(11, 16, 'MONEY'), (26, 36, 'DATE'), (57, 69, 'IP-Address'), (74, 106, 'Token keys'), (110, 114, 'ORG'), (116, 124, 'LOC')]"
"On January 5th, 2024, Anna updated records with token key 9f8e7d6c5b4a3210abcdef1234567890 and accessed system at IP 192.168.0.50 for IBM in Armonk.","[(3, 19, 'DATE'), (20, 24, 'PER'), (42, 74, 'Token keys'), (91, 104, 'IP-Address'), (109, 112, 'ORG'), (116, 122, 'LOC')]"
System reboot initiated by user Mark on 2024-10-10 from IP 10.10.10.10 with token 0abcdef1234567890fedcba987654321 at HP Dallas center.,"[(27, 31, 'PER'), (35, 45, 'DATE'), (51, 61, 'IP-Address'), (72, 104, 'Token keys'), (108, 110, 'ORG'), (111, 117, 'LOC')]"
"The software license with token key 1a2b3c4d5e6f7g8h9i0jklmnopqrstuv was activated on 2023-11-11 from IP 198.51.100.42 at Adobe, San Jose.","[(25, 57, 'Token keys'), (72, 82, 'DATE'), (88, 101, 'IP-Address'), (105, 110, 'ORG'), (112, 120, 'LOC')]"
"On 2023-04-01, server maintenance was performed by technician Emily; IP 172.16.0.1, token key abcdef1234567890abcdef1234567890 used at Google Seattle.","[(3, 13, 'DATE'), (56, 67, 'IP-Address'), (69, 101, 'Token keys'), (111, 117, 'ORG'), (118, 125, 'LOC')]"
Update #8 installed on 2024-06-22 by engineer David; IP 203.0.113.45 and token 123456789abcdef0123456789abcdef01 verified at Facebook Menlo Park.,"[(7, 8, 'ORDINAL'), (22, 32, 'DATE'), (44, 49, 'PER'), (55, 67, 'IP-Address'), (72, 104, 'Token keys'), (114, 122, 'ORG'), (123, 134, 'LOC')]"
Backup completed on 2024-01-01; admin John accessed server with IP 192.168.254.254 and token 0f1e2d3c4b5a69788766554433221100 at IBM Tokyo.,"[(18, 28, 'DATE'), (34, 38, 'PER'), (63, 77, 'IP-Address'), (82, 114, 'Token keys'), (118, 121, 'ORG'), (122, 127, 'LOC')]"
The new firewall rule was applied by Michael on 2024-09-05; IP 10.0.0.1 and token key f1234567890abcdef1234567890abcd used at Cisco San Jose.,"[(34, 41, 'PER'), (45, 55, 'DATE'), (58, 67, 'IP-Address'), (82, 114, 'Token keys'), (118, 123, 'ORG'), (124, 132, 'LOC')]"
Error detected on 2023-12-12 during deployment by engineer Sarah; IP fe80::f2de:f1ff:fe3f:307e and token 123abc456def789ghi012jkl345mno678 at Dell Austin.,"[(15, 25, 'DATE'), (53, 58, 'PER'), (64, 87, 'IP-Address'), (92, 124, 'Token keys'), (128, 132, 'ORG'), (133, 139, 'LOC')]"
"On 2024-03-03, server restart was initiated by user Alex; IP 192.0.2.1 and token key 0a1b2c3d4e5f67890123456789abcdef used at Netflix Los Angeles.","[(3, 13, 'DATE'), (50, 54, 'PER'), (60, 71, 'IP-Address'), (85, 117, 'Token keys'), (121, 128, 'ORG'), (129, 141, 'LOC')]"
Patch 15 installed on 2024-07-07 by developer Maria; IP 198.51.100.23 and token 9f8e7d6c5b4a3210abcdef1234567890 validated at Microsoft Redmond.,"[(6, 8, 'ORDINAL'), (19, 29, 'DATE'), (42, 47, 'PER'), (53, 65, 'IP-Address'), (70, 102, 'Token keys'), (112, 121, 'ORG'), (122, 130, 'LOC')]"
The meeting held at MIT on 2023-05-20 was secured with token key abcdef1234567890fedcba0987654321 and IP 203.0.113.10.,"[(17, 20, 'ORG'), (24, 34, 'DATE'), (53, 85, 'Token keys'), (90, 103, 'IP-Address')]"
"On 2023-04-10, engineer Raj accessed the system with token key 123abc456def789ghi012jkl345mno678 and IP 172.31.255.255 at Netflix Los Angeles.","[(3, 13, 'DATE'), (22, 25, 'PER'), (52, 84, 'Token keys'), (89, 102, 'IP-Address'), (106, 113, 'ORG'), (114, 126, 'LOC')]"
User login from IP 2400:cb00:2048:1::c629:d7a2 with token key 0a1b2c3d4e5f6a7b8c9d0e1f2a345678 on 2024-03-17 at Twitter London headquarters.,"[(17, 43, 'IP-Address'), (59, 91, 'Token keys'), (95, 105, 'DATE'), (109, 116, 'ORG'), (117, 123, 'LOC')]"
"Payment of $4500 received on 2024-02-14; transaction logged with IP 203.0.113.99 and token 1234567890abcdef1234567890abcdef at Visa HQ, New York.","[(11, 16, 'MONEY'), (26, 36, 'DATE'), (57, 69, 'IP-Address'), (74, 106, 'Token keys'), (110, 114, 'ORG'), (116, 124, 'LOC')]"
User admin generated token 9a8bc7d3e5f1a2b4c6d7e8f9g0h1j2k3 and logged in from IP 192.168.1.45 on 2024-05-12 at Acme Corp headquarters.,"[(20, 52, 'Token keys'), (74, 85, 'IP-Address'), (89, 99, 'DATE'), (103, 112, 'ORG')]"
The API key z1x2c3v4b5n6m7q8w9e0r1t2y3u4i5o6 was used to access server 10.0.0.254 located in Berlin on 15th April 2024.,"[(12, 52, 'Token keys'), (72, 82, 'IP-Address'), (93, 99, 'LOC'), (103, 119, 'DATE'), (108, 112, 'ORDINAL')]"
"Employee John Doe accessed the system with token EDF12345GHJK67890ZXCVB and IP address 2001:0db8:85a3:0000:0000:8a2e:0370:7334 on March 3, 2024.","[(9, 17, 'PER'), (52, 72, 'Token keys'), (77, 114, 'IP-Address'), (118, 132, 'DATE')]"
New deployment key 47F9A2B8C3D4E5F6G7H8I9J0K1L2M3N4 used from IP 172.16.254.1 at the headquarters of Globex Corporation on 2023-12-01.,"[(19, 55, 'Token keys'), (66, 77, 'IP-Address'), (96, 112, 'ORG'), (116, 126, 'DATE')]"
The license key A1B2C3D4E5F6G7H8I9J0K1L2M3N4O5P6 was activated by user Alice Smith from IP 8.8.8.8 on 01/01/2024 in New York.,"[(16, 52, 'Token keys'), (77, 84, 'PER'), (90, 97, 'IP-Address'), (101, 111, 'DATE'), (115, 123, 'LOC')]"
Session token 9F8E7D6C5B4A3H2J1K0L9M8N7O6P5Q4R expired on 20-Feb-2024 after being used from IP 123.123.123.123 at MegaSoft office.,"[(14, 54, 'Token keys'), (77, 88, 'DATE'), (110, 123, 'IP-Address'), (127, 137, 'ORG')]"
"Audit log shows token ZXCVBNMASDFGHJKLQWERTYUIOP12345678 used at IP address 255.255.255.0 on July 15, 2024 in Paris.","[(22, 62, 'Token keys'), (77, 89, 'IP-Address'), (93, 104, 'DATE'), (108, 113, 'LOC')]"
"Temporary key 1A2B3C4D5E6F7G8H9I0J1K2L3M4N5O6P generated for user Bob Martin, connected from IP 2607:f0d0:1002:51::4 on 2024-07-20.","[(14, 50, 'Token keys'), (72, 82, 'PER'), (96, 115, 'IP-Address'), (119, 129, 'DATE')]"
User account Maria Garcia received new token QWERTY123456ASDFGHJKLZXCVBNM09876 and logged in via IP 192.0.2.146 on 2024-06-30 at TechWorld.,"[(13, 24, 'PER'), (47, 83, 'Token keys'), (101, 112, 'IP-Address'), (116, 126, 'DATE'), (130, 139, 'ORG')]"
Backup token 7G6H5J4K3L2M1N0B9V8C7X6Z5Y4W3E2R from IP 198.51.100.23 was expired on 2023-11-11 at the London data center.,"[(13, 49, 'Token keys'), (55, 68, 'IP-Address'), (82, 92, 'DATE'), (100, 106, 'LOC')]"
System alert: token 123ABC456DEF789GHI012JKL345MNO678 used from IPv6 address fe80::f2de:f1ff:fe3f:307e on 2024-01-15 at Omega Solutions.,"[(15, 51, 'Token keys'), (69, 92, 'IP-Address'), (96, 106, 'DATE'), (110, 125, 'ORG')]"
Access granted to user Liam Neeson with token HJ45KL78MN12OP34QR56ST78UV90WX12 and IP 10.10.10.10 on 12/12/2023 at RedTech.,"[(18, 29, 'PER'), (40, 76, 'Token keys'), (81, 91, 'IP-Address'), (95, 105, 'DATE'), (109, 116, 'ORG')]"
"New security token: ZX12CV34BN56ML78KJ90PO23QWE45RT67 generated for user Emma Watson, IP: 203.0.113.195 on 2024-04-01.","[(20, 56, 'Token keys'), (75, 86, 'PER'), (92, 103, 'IP-Address'), (107, 117, 'DATE')]"
User Robert Brown's token 1Q2W3E4R5T6Y7U8I9O0PASDFGHJKLZX expired at IP address 172.31.255.255 on 2023-09-05 in Seattle.,"[(5, 17, 'PER'), (26, 62, 'Token keys'), (82, 97, 'IP-Address'), (101, 111, 'DATE'), (115, 122, 'LOC')]"
"Token MNBVCXZLKJHGFDSAPOIUYTREWQ9876543210 issued for user Olivia Johnson from IP 192.168.0.101 on March 14, 2024 at DataHub.","[(6, 46, 'Token keys'), (66, 80, 'PER'), (86, 97, 'IP-Address'), (101, 115, 'DATE'), (119, 126, 'ORG')]"
Client key PLMOKNIJBUHVYGCTFREDSWAQZXCV12345678 connected from IPv6 fe80::1ff:fe23:4567:890a on 2024-08-22 at Silicon Valley.,"[(11, 51, 'Token keys'), (65, 87, 'IP-Address'), (91, 101, 'DATE'), (105, 120, 'LOC')]"
The software license key 9Z8X7C6V5B4N3M2L1K0J9H8G7F6D5S4A was activated from IP 100.64.0.1 on 2024-03-18 at Initech.,"[(26, 66, 'Token keys'), (80, 91, 'IP-Address'), (95, 105, 'DATE'), (109, 116, 'ORG')]"
Verification token QAZWSXEDCRFVTGBYHNUJMIKLOP1234567890 was used by user Ethan Hunt from IP 172.20.14.2 on 2023-10-10.,"[(20, 60, 'Token keys'), (75, 85, 'PER'), (91, 102, 'IP-Address'), (106, 116, 'DATE')]"
New token generated: 1A2B3C4D5E6F7G8H9I0J1K2L3M4N5O6P7 at IP 198.18.0.1 on 01-Aug-2024 for client Delta Corp.,"[(16, 56, 'Token keys'), (64, 74, 'IP-Address'), (78, 88, 'DATE'), (102, 112, 'ORG')]"
Session started with key WERTYUIOPLKJHGFDSAZXCVBNM1234567890 from IP address 172.217.5.110 on 2024-02-29 at New Horizons.,"[(21, 61, 'Token keys'), (76, 89, 'IP-Address'), (93, 103, 'DATE'), (107, 119, 'ORG')]"
Admin user Sophia Lee used token ZXCVBNMLKJHGFDSAPOIUYTREWQ0987654321 and connected from IP 203.0.113.5 on 2023-12-25 in Toronto.,"[(11, 21, 'PER'), (32, 72, 'Token keys'), (91, 102, 'IP-Address'), (106, 116, 'DATE'), (120, 127, 'LOC')]"
License key 9O8I7U6Y5T4R3E2W1QAZXSWEDCVFGBHN was registered from IP 192.0.2.50 on 2024-05-05 at Cyberdyne Systems.,"[(12, 52, 'Token keys'), (66, 77, 'IP-Address'), (81, 91, 'DATE'), (95, 113, 'ORG')]"
User Michael Scott's session token PLMNOKIJUBHVGCFTRDESWAQZXCV123456789 expired on 2023-07-07 while connected from IP 10.255.255.254 in Scranton.,"[(5, 18, 'PER'), (33, 73, 'Token keys'), (85, 95, 'DATE'), (114, 127, 'IP-Address'), (131, 139, 'LOC')]"
The new token QWERTYUIOPASDFGHJKLZXCVBNM0987654321 was issued on 2024-06-01 for user Jane Doe at IP 198.51.100.200.,"[(14, 54, 'Token keys'), (69, 79, 'DATE'), (89, 97, 'PER'), (101, 114, 'IP-Address')]"
Temporary access granted with token ZXCVBNMASDFGHJKLQWERTYUIOP1234567890 from IP 172.30.0.5 on 2024-09-09 at Umbrella Corp.,"[(28, 68, 'Token keys'), (77, 87, 'IP-Address'), (91, 101, 'DATE'), (105, 117, 'ORG')]"
Server 7B8C9D0E1F2A3B4C5D6E7F8G9H0J1K2L token registered from IPv6 2001:db8::1428:57ab on 2024-01-01 at Stark Industries.,"[(7, 43, 'Token keys'), (62, 79, 'IP-Address'), (83, 93, 'DATE'), (97, 113, 'ORG')]"
The token ASDFGHJKLQWERTYUIOPZXCVBNM0987654321 used by user David Kim from IP 10.1.1.1 on 2023-11-20 in San Francisco.,"[(10, 50, 'Token keys'), (69, 77, 'PER'), (83, 92, 'IP-Address'), (96, 106, 'DATE'), (110, 123, 'LOC')]"
New API token 1234567890QWERTYUIOPLKJHGFDSAZXCV was issued on 2024-03-03 for client Beta LLC from IP 8.8.4.4.,"[(14, 54, 'Token keys'), (65, 75, 'DATE'), (90, 97, 'ORG'), (102, 108, 'IP-Address')]"
User Emma Stone authenticated with token ZXCVBNMLKJHGFDSAPOIUYTREWQ1234567890 from IP 172.16.0.100 on 2024-05-15.,"[(5, 15, 'PER'), (38, 78, 'Token keys'), (87, 100, 'IP-Address'), (104, 114, 'DATE')]"
"Access token 9Q8W7E6R5T4Y3U2I1O0P9L8K7J6H5G4F generated for user Nathan Drake, IP address 192.168.100.100 on 2023-12-31.","[(13, 53, 'Token keys'), (72, 84, 'PER'), (97, 110, 'IP-Address'), (114, 124, 'DATE')]"
The encryption key QWERTYUIOPASDFGHJKLZXCVBNM123456789 was used from IP 198.51.100.42 on 2024-02-02 at CyberArk.,"[(19, 59, 'Token keys'), (70, 83, 'IP-Address'), (87, 97, 'DATE'), (101, 109, 'ORG')]"
Token ABC123XYZ789LMNOP456QRS234TUV567 used by user Chloe Grace from IP 203.0.113.55 on 2024-07-17 in Los Angeles.,"[(6, 46, 'Token keys'), (61, 72, 'PER'), (78, 89, 'IP-Address'), (93, 103, 'DATE'), (107, 118, 'LOC')]"
Session key 1Z2X3C4V5B6N7M8L9K0J1H2G3F4D5S6A was assigned at IP 10.0.0.1 on 2023-06-25 to user Harry Potter.,"[(12, 52, 'Token keys'), (66, 73, 'IP-Address'), (77, 87, 'DATE'), (96, 108, 'PER')]"
The token generated for user Ava Green is QAZWSXEDCRFVTGBYHNUJMIKLOP1234567890 and was used from IP 192.168.10.10 on 2024-04-18.,"[(33, 73, 'Token keys'), (92, 102, 'PER'), (114, 127, 'IP-Address'), (131, 141, 'DATE')]"
Temporary token 9M8N7B6V5C4X3Z2A1S0D9F8G7H6J5K4L granted to user Liam Neeson at IP 172.217.10.14 on 2023-08-08.,"[(16, 56, 'Token keys'), (79, 89, 'PER'), (93, 106, 'IP-Address'), (110, 120, 'DATE')]"
API key ZXCVBNMASDFGHJKLQWERTYUIOP1234567890 used from IPv6 2607:f0d0:1002:51::4 on 2024-05-21 by user Sarah Connor.,"[(8, 48, 'Token keys'), (62, 85, 'IP-Address'), (89, 102, 'DATE'), (106, 118, 'PER')]"
License token 1234ABCD5678EFGH9012IJKL3456MNOP used on 2023-10-30 from IP 192.0.2.75 at Umbrella Corporation.,"[(14, 50, 'Token keys'), (62, 72, 'DATE'), (78, 89, 'IP-Address'), (93, 114, 'ORG')]"
User Ethan Hunt's token QWERTY123456ASDFGHJKLZXCVBNM09876 expired on 2024-01-20 at IP 10.10.10.20.,"[(5, 15, 'PER'), (24, 60, 'Token keys'), (70, 80, 'DATE'), (84, 92, 'IP-Address')]"
The security token 9Z8X7C6V5B4N3M2L1K0J9H8G7F6D5S4A was activated from IP 198.51.100.100 on 2023-11-11 at Cyberdyne Systems.,"[(20, 60, 'Token keys'), (74, 87, 'IP-Address'), (91, 101, 'DATE'), (105, 123, 'ORG')]"
Access granted with token PLMOKNIJBUHVYGCTFREDSWAQZXCV12345678 from IP 172.31.255.254 on 2024-07-07 in Seattle.,"[(19, 59, 'Token keys'), (68, 83, 'IP-Address'), (87, 97, 'DATE'), (101, 108, 'LOC')]"
Session initiated by user Olivia Johnson with token MNBVCXZLKJHGFDSAPOIUYTREWQ9876543210 at IP 192.168.0.101 on 2024-03-15.,"[(23, 37, 'PER'), (53, 93, 'Token keys'), (97, 110, 'IP-Address'), (114, 124, 'DATE')]"
Backup token 7G6H5J4K3L2M1N0B9V8C7X6Z5Y4W3E2R from IPv6 fe80::f2de:f1ff:fe3f:307e expired on 2023-12-12 at London data center.,"[(13, 49, 'Token keys'), (59, 82, 'IP-Address'), (92, 102, 'DATE'), (106, 112, 'LOC')]"
Token 123ABC456DEF789GHI012JKL345MNO678 used by user Chloe Grace from IP 203.0.113.55 on 2024-07-17 in Los Angeles.,"[(6, 46, 'Token keys'), (61, 72, 'PER'), (78, 89, 'IP-Address'), (93, 103, 'DATE'), (107, 118, 'LOC')]"
Session key 1Z2X3C4V5B6N7M8L9K0J1H2G3F4D5S6A was assigned at IP 10.0.0.1 on 2023-06-25 to user Harry Potter.,"[(12, 52, 'Token keys'), (66, 73, 'IP-Address'), (77, 87, 'DATE'), (96, 108, 'PER')]"
The token generated for user Ava Green is QAZWSXEDCRFVTGBYHNUJMIKLOP1234567890 and was used from IP 192.168.10.10 on 2024-04-18.,"[(33, 73, 'Token keys'), (92, 102, 'PER'), (114, 127, 'IP-Address'), (131, 141, 'DATE')]"
Temporary token 9M8N7B6V5C4X3Z2A1S0D9F8G7H6J5K4L granted to user Liam Neeson at IP 172.217.10.14 on 2023-08-08.,"[(16, 56, 'Token keys'), (79, 89, 'PER'), (93, 106, 'IP-Address'), (110, 120, 'DATE')]"
API key ZXCVBNMASDFGHJKLQWERTYUIOP1234567890 used from IPv6 2607:f0d0:1002:51::4 on 2024-05-21 by user Sarah Connor.,"[(8, 48, 'Token keys'), (62, 85, 'IP-Address'), (89, 102, 'DATE'), (106, 118, 'PER')]"
License token 1234ABCD5678EFGH9012IJKL3456MNOP used on 2023-10-30 from IP 192.0.2.75 at Umbrella Corporation.,"[(14, 50, 'Token keys'), (62, 72, 'DATE'), (78, 89, 'IP-Address'), (93, 114, 'ORG')]"
User Ethan Hunt's token QWERTY123456ASDFGHJKLZXCVBNM09876 expired on 2024-01-20 at IP 10.10.10.20.,"[(5, 15, 'PER'), (24, 60, 'Token keys'), (70, 80, 'DATE'), (84, 92, 'IP-Address')]"
The security token 9Z8X7C6V5B4N3M2L1K0J9H8G7F6D5S4A was activated from IP 198.51.100.100 on 2023-11-11 at Cyberdyne Systems.,"[(20, 60, 'Token keys'), (74, 87, 'IP-Address'), (91, 101, 'DATE'), (105, 123, 'ORG')]"
Access granted with token PLMOKNIJBUHVYGCTFREDSWAQZXCV12345678 from IP 172.31.255.254 on 2024-07-07 in Seattle.,"[(19, 59, 'Token keys'), (68, 83, 'IP-Address'), (87, 97, 'DATE'), (101, 108, 'LOC')]"
Session initiated by user Olivia Johnson with token MNBVCXZLKJHGFDSAPOIUYTREWQ9876543210 at IP 192.168.0.101 on 2024-03-15.,"[(23, 37, 'PER'), (53, 93, 'Token keys'), (97, 110, 'IP-Address'), (114, 124, 'DATE')]"
Backup token 7G6H5J4K3L2M1N0B9V8C7X6Z5Y4W3E2R from IPv6 fe80::f2de:f1ff:fe3f:307e expired on 2023-12-12 at London data center.,"[(13, 49, 'Token keys'), (59, 82, 'IP-Address'), (92, 102, 'DATE'), (106, 112, 'LOC')]"
Token 123ABC456DEF789GHI012JKL345MNO678 used by user Chloe Grace from IP 203.0.113.55 on 2024-07-17 in Los Angeles.,"[(6, 46, 'Token keys'), (61, 72, 'PER'), (78, 89, 'IP-Address'), (93, 103, 'DATE'), (107, 118, 'LOC')]"
Session key 1Z2X3C4V5B6N7M8L9K0J1H2G3F4D5S6A was assigned at IP 10.0.0.1 on 2023-06-25 to user Harry Potter.,"[(12, 52, 'Token keys'), (66, 73, 'IP-Address'), (77, 87, 'DATE'), (96, 108, 'PER')]"
The token generated for user Ava Green is QAZWSXEDCRFVTGBYHNUJMIKLOP1234567890 and was used from IP 192.168.10.10 on 2024-04-18.,"[(33, 73, 'Token keys'), (92, 102, 'PER'), (114, 127, 'IP-Address'), (131, 141, 'DATE')]"
Temporary token 9M8N7B6V5C4X3Z2A1S0D9F8G7H6J5K4L granted to user Liam Neeson at IP 172.217.10.14 on 2023-08-08.,"[(16, 56, 'Token keys'), (79, 89, 'PER'), (93, 106, 'IP-Address'), (110, 120, 'DATE')]"
API key ZXCVBNMASDFGHJKLQWERTYUIOP1234567890 used from IPv6 2607:f0d0:1002:51::4 on 2024-05-21 by user Sarah Connor.,"[(8, 48, 'Token keys'), (62, 85, 'IP-Address'), (89, 102, 'DATE'), (106, 118, 'PER')]"
License token 1234ABCD5678EFGH9012IJKL3456MNOP used on 2023-10-30 from IP 192.0.2.75 at Umbrella Corporation.,"[(14, 50, 'Token keys'), (62, 72, 'DATE'), (78, 89, 'IP-Address'), (93, 114, 'ORG')]"
User Ethan Hunt's token QWERTY123456ASDFGHJKLZXCVBNM09876 expired on 2024-01-20 at IP 10.10.10.20.,"[(5, 15, 'PER'), (24, 60, 'Token keys'), (70, 80, 'DATE'), (84, 92, 'IP-Address')]"
The security token 9Z8X7C6V5B4N3M2L1K0J9H8G7F6D5S4A was activated from IP 198.51.100.100 on 2023-11-11 at Cyberdyne Systems.,"[(20, 60, 'Token keys'), (74, 87, 'IP-Address'), (91, 101, 'DATE'), (105, 123, 'ORG')]"
Access granted with token PLMOKNIJBUHVYGCTFREDSWAQZXCV12345678 from IP 172.31.255.254 on 2024-07-07 in Seattle.,"[(19, 59, 'Token keys'), (68, 83, 'IP-Address'), (87, 97, 'DATE'), (101, 108, 'LOC')]"
